instant,dteday,season,year,month,hour,holiday,day,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count,activity_cluster
1,2011-01-01,Spring,2011,Jan,0,0,Sat,Weekend,Clear,0.24,0.2879,0.81,0.0,3,13,16,Low Activity
2,2011-01-01,Spring,2011,Jan,1,0,Sat,Weekend,Clear,0.22,0.2727,0.8,0.0,8,32,40,Medium Activity
3,2011-01-01,Spring,2011,Jan,2,0,Sat,Weekend,Clear,0.22,0.2727,0.8,0.0,5,27,32,Low Activity
4,2011-01-01,Spring,2011,Jan,3,0,Sat,Weekend,Clear,0.24,0.2879,0.75,0.0,3,10,13,Low Activity
5,2011-01-01,Spring,2011,Jan,4,0,Sat,Weekend,Clear,0.24,0.2879,0.75,0.0,0,1,1,Low Activity
6,2011-01-01,Spring,2011,Jan,5,0,Sat,Weekend,Misty,0.24,0.2576,0.75,0.0896,0,1,1,Low Activity
7,2011-01-01,Spring,2011,Jan,6,0,Sat,Weekend,Clear,0.22,0.2727,0.8,0.0,2,0,2,Low Activity
8,2011-01-01,Spring,2011,Jan,7,0,Sat,Weekend,Clear,0.2,0.2576,0.86,0.0,1,2,3,Low Activity
9,2011-01-01,Spring,2011,Jan,8,0,Sat,Weekend,Clear,0.24,0.2879,0.75,0.0,1,7,8,Low Activity
10,2011-01-01,Spring,2011,Jan,9,0,Sat,Weekend,Clear,0.32,0.3485,0.76,0.0,8,6,14,Low Activity
11,2011-01-01,Spring,2011,Jan,10,0,Sat,Weekend,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Low Activity
12,2011-01-01,Spring,2011,Jan,11,0,Sat,Weekend,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Medium Activity
13,2011-01-01,Spring,2011,Jan,12,0,Sat,Weekend,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Medium Activity
14,2011-01-01,Spring,2011,Jan,13,0,Sat,Weekend,Misty,0.46,0.4545,0.72,0.2985,47,47,94,Medium Activity
15,2011-01-01,Spring,2011,Jan,14,0,Sat,Weekend,Misty,0.46,0.4545,0.72,0.2836,35,71,106,Medium Activity
16,2011-01-01,Spring,2011,Jan,15,0,Sat,Weekend,Misty,0.44,0.4394,0.77,0.2985,40,70,110,Medium Activity
17,2011-01-01,Spring,2011,Jan,16,0,Sat,Weekend,Misty,0.42,0.4242,0.82,0.2985,41,52,93,Medium Activity
18,2011-01-01,Spring,2011,Jan,17,0,Sat,Weekend,Misty,0.44,0.4394,0.82,0.2836,15,52,67,Medium Activity
19,2011-01-01,Spring,2011,Jan,18,0,Sat,Weekend,Light_rain,0.42,0.4242,0.88,0.2537,9,26,35,Low Activity
20,2011-01-01,Spring,2011,Jan,19,0,Sat,Weekend,Light_rain,0.42,0.4242,0.88,0.2537,6,31,37,Low Activity
21,2011-01-01,Spring,2011,Jan,20,0,Sat,Weekend,Misty,0.4,0.4091,0.87,0.2537,11,25,36,Low Activity
22,2011-01-01,Spring,2011,Jan,21,0,Sat,Weekend,Misty,0.4,0.4091,0.87,0.194,3,31,34,Low Activity
23,2011-01-01,Spring,2011,Jan,22,0,Sat,Weekend,Misty,0.4,0.4091,0.94,0.2239,11,17,28,Low Activity
24,2011-01-01,Spring,2011,Jan,23,0,Sat,Weekend,Misty,0.46,0.4545,0.88,0.2985,15,24,39,Low Activity
25,2011-01-02,Spring,2011,Jan,0,0,Sun,Weekend,Misty,0.46,0.4545,0.88,0.2985,4,13,17,Low Activity
26,2011-01-02,Spring,2011,Jan,1,0,Sun,Weekend,Misty,0.44,0.4394,0.94,0.2537,1,16,17,Low Activity
27,2011-01-02,Spring,2011,Jan,2,0,Sun,Weekend,Misty,0.42,0.4242,1.0,0.2836,1,8,9,Low Activity
28,2011-01-02,Spring,2011,Jan,3,0,Sun,Weekend,Misty,0.46,0.4545,0.94,0.194,2,4,6,Low Activity
29,2011-01-02,Spring,2011,Jan,4,0,Sun,Weekend,Misty,0.46,0.4545,0.94,0.194,2,1,3,Low Activity
30,2011-01-02,Spring,2011,Jan,6,0,Sun,Weekend,Light_rain,0.42,0.4242,0.77,0.2985,0,2,2,Low Activity
31,2011-01-02,Spring,2011,Jan,7,0,Sun,Weekend,Misty,0.4,0.4091,0.76,0.194,0,1,1,Low Activity
32,2011-01-02,Spring,2011,Jan,8,0,Sun,Weekend,Light_rain,0.4,0.4091,0.71,0.2239,0,8,8,Low Activity
33,2011-01-02,Spring,2011,Jan,9,0,Sun,Weekend,Misty,0.38,0.3939,0.76,0.2239,1,19,20,Low Activity
34,2011-01-02,Spring,2011,Jan,10,0,Sun,Weekend,Misty,0.36,0.3485,0.81,0.2239,7,46,53,Medium Activity
35,2011-01-02,Spring,2011,Jan,11,0,Sun,Weekend,Misty,0.36,0.3333,0.71,0.2537,16,54,70,Medium Activity
36,2011-01-02,Spring,2011,Jan,12,0,Sun,Weekend,Misty,0.36,0.3333,0.66,0.2985,20,73,93,Medium Activity
37,2011-01-02,Spring,2011,Jan,13,0,Sun,Weekend,Misty,0.36,0.3485,0.66,0.1343,11,64,75,Medium Activity
38,2011-01-02,Spring,2011,Jan,14,0,Sun,Weekend,Light_rain,0.36,0.3485,0.76,0.194,4,55,59,Medium Activity
39,2011-01-02,Spring,2011,Jan,15,0,Sun,Weekend,Light_rain,0.34,0.3333,0.81,0.1642,19,55,74,Medium Activity
40,2011-01-02,Spring,2011,Jan,16,0,Sun,Weekend,Light_rain,0.34,0.3333,0.71,0.1642,9,67,76,Medium Activity
41,2011-01-02,Spring,2011,Jan,17,0,Sun,Weekend,Clear,0.34,0.3333,0.57,0.194,7,58,65,Medium Activity
42,2011-01-02,Spring,2011,Jan,18,0,Sun,Weekend,Misty,0.36,0.3333,0.46,0.3284,10,43,53,Medium Activity
43,2011-01-02,Spring,2011,Jan,19,0,Sun,Weekend,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Low Activity
44,2011-01-02,Spring,2011,Jan,20,0,Sun,Weekend,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Low Activity
45,2011-01-02,Spring,2011,Jan,21,0,Sun,Weekend,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Low Activity
46,2011-01-02,Spring,2011,Jan,22,0,Sun,Weekend,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Low Activity
47,2011-01-02,Spring,2011,Jan,23,0,Sun,Weekend,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Low Activity
48,2011-01-03,Spring,2011,Jan,0,0,Mon,Weekday,Clear,0.22,0.197,0.44,0.3582,0,5,5,Low Activity
49,2011-01-03,Spring,2011,Jan,1,0,Mon,Weekday,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Low Activity
50,2011-01-03,Spring,2011,Jan,4,0,Mon,Weekday,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Low Activity
51,2011-01-03,Spring,2011,Jan,5,0,Mon,Weekday,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Low Activity
52,2011-01-03,Spring,2011,Jan,6,0,Mon,Weekday,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Low Activity
53,2011-01-03,Spring,2011,Jan,7,0,Mon,Weekday,Clear,0.14,0.1364,0.5,0.194,1,63,64,Medium Activity
54,2011-01-03,Spring,2011,Jan,8,0,Mon,Weekday,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Medium Activity
55,2011-01-03,Spring,2011,Jan,9,0,Mon,Weekday,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Medium Activity
56,2011-01-03,Spring,2011,Jan,10,0,Mon,Weekday,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Medium Activity
57,2011-01-03,Spring,2011,Jan,11,0,Mon,Weekday,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Medium Activity
58,2011-01-03,Spring,2011,Jan,12,0,Mon,Weekday,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Medium Activity
59,2011-01-03,Spring,2011,Jan,13,0,Mon,Weekday,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Medium Activity
60,2011-01-03,Spring,2011,Jan,14,0,Mon,Weekday,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Medium Activity
61,2011-01-03,Spring,2011,Jan,15,0,Mon,Weekday,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Medium Activity
62,2011-01-03,Spring,2011,Jan,16,0,Mon,Weekday,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Medium Activity
63,2011-01-03,Spring,2011,Jan,17,0,Mon,Weekday,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Medium Activity
64,2011-01-03,Spring,2011,Jan,18,0,Mon,Weekday,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Medium Activity
65,2011-01-03,Spring,2011,Jan,19,0,Mon,Weekday,Clear,0.2,0.2576,0.47,0.0,8,102,110,Medium Activity
66,2011-01-03,Spring,2011,Jan,20,0,Mon,Weekday,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Medium Activity
67,2011-01-03,Spring,2011,Jan,21,0,Mon,Weekday,Clear,0.18,0.197,0.64,0.1343,3,49,52,Medium Activity
68,2011-01-03,Spring,2011,Jan,22,0,Mon,Weekday,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Low Activity
69,2011-01-03,Spring,2011,Jan,23,0,Mon,Weekday,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Low Activity
70,2011-01-04,Spring,2011,Jan,0,0,Tue,Weekday,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Low Activity
71,2011-01-04,Spring,2011,Jan,1,0,Tue,Weekday,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Low Activity
72,2011-01-04,Spring,2011,Jan,2,0,Tue,Weekday,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Low Activity
73,2011-01-04,Spring,2011,Jan,4,0,Tue,Weekday,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Low Activity
